Lag,q,Moment,Observations,Table,Population,LagType,TrainEnd,MaxLag
45,2.0,0.590667799158654,5378630,equity_parkinson_variance,global,observation,2016-01-01,400
45,3.0,0.9172935260028868,5378630,equity_parkinson_variance,global,observation,2016-01-01,400
45,4.0,2.026721527554142,5378630,equity_parkinson_variance,global,observation,2016-01-01,400
46,1.0,0.575716204133566,5377105,equity_parkinson_variance,global,observation,2016-01-01,400
46,1.5,0.5511538306538939,5377105,equity_parkinson_variance,global,observation,2016-01-01,400
46,2.0,0.5912015492729413,5377105,equity_parkinson_variance,global,observation,2016-01-01,400
46,3.0,0.9186199510710232,5377105,equity_parkinson_variance,global,observation,2016-01-01,400
46,4.0,2.031132142186131,5377105,equity_parkinson_variance,global,observation,2016-01-01,400
47,1.0,0.5759781775164222,5375580,equity_parkinson_variance,global,observation,2016-01-01,400
47,1.5,0.5514877903043537,5375580,equity_parkinson_variance,global,observation,2016-01-01,400
47,2.0,0.5916366685149587,5375580,equity_parkinson_variance,global,observation,2016-01-01,400
47,3.0,0.9196270534353651,5375580,equity_parkinson_variance,global,observation,2016-01-01,400
47,4.0,2.0346156149180996,5375580,equity_parkinson_variance,global,observation,2016-01-01,400
48,1.0,0.5763051482343451,5374055,equity_parkinson_variance,global,observation,2016-01-01,400
48,1.5,0.5519865028676437,5374055,equity_parkinson_variance,global,observation,2016-01-01,400
48,2.0,0.592350766293309,5374055,equity_parkinson_variance,global,observation,2016-01-01,400
48,3.0,0.9209813697925416,5374055,equity_parkinson_variance,global,observation,2016-01-01,400
48,4.0,2.0366800539238166,5374055,equity_parkinson_variance,global,observation,2016-01-01,400
49,1.0,0.5774049621231138,5372530,equity_parkinson_variance,global,observation,2016-01-01,400
49,1.5,0.5532559408717761,5372530,equity_parkinson_variance,global,observation,2016-01-01,400
49,2.0,0.5937727999866524,5372530,equity_parkinson_variance,global,observation,2016-01-01,400
49,3.0,0.9232099136157967,5372530,equity_parkinson_variance,global,observation,2016-01-01,400
49,4.0,2.044980748374675,5372530,equity_parkinson_variance,global,observation,2016-01-01,400
50,1.0,0.5779874513810259,5371005,equity_parkinson_variance,global,observation,2016-01-01,400
50,1.5,0.5542942600620324,5371005,equity_parkinson_variance,global,observation,2016-01-01,400
50,2.0,0.5953985884999042,5371005,equity_parkinson_variance,global,observation,2016-01-01,400
50,3.0,0.9264596358873357,5371005,equity_parkinson_variance,global,observation,2016-01-01,400
50,4.0,2.0489828090730597,5371005,equity_parkinson_variance,global,observation,2016-01-01,400
51,1.0,0.5786193400592866,5369480,equity_parkinson_variance,global,observation,2016-01-01,400
51,1.5,0.555041302745253,5369480,equity_parkinson_variance,global,observation,2016-01-01,400
51,2.0,0.5962581028557082,5369480,equity_parkinson_variance,global,observation,2016-01-01,400
51,3.0,0.9275452996377298,5369480,equity_parkinson_variance,global,observation,2016-01-01,400
51,4.0,2.048289449803416,5369480,equity_parkinson_variance,global,observation,2016-01-01,400
52,1.0,0.5789922558590354,5367955,equity_parkinson_variance,global,observation,2016-01-01,400
52,1.5,0.5555148804675192,5367955,equity_parkinson_variance,global,observation,2016-01-01,400
52,2.0,0.5969077174878797,5367955,equity_parkinson_variance,global,observation,2016-01-01,400
52,3.0,0.9292700232571075,5367955,equity_parkinson_variance,global,observation,2016-01-01,400
52,4.0,2.0557246148755377,5367955,equity_parkinson_variance,global,observation,2016-01-01,400
53,1.0,0.5788855383432683,5366430,equity_parkinson_variance,global,observation,2016-01-01,400
53,1.5,0.5552744622969246,5366430,equity_parkinson_variance,global,observation,2016-01-01,400
53,2.0,0.5964009092683245,5366430,equity_parkinson_variance,global,observation,2016-01-01,400
53,3.0,0.9271191581020815,5366430,equity_parkinson_variance,global,observation,2016-01-01,400
53,4.0,2.046213792245896,5366430,equity_parkinson_variance,global,observation,2016-01-01,400
54,1.0,0.5791732986793006,5364905,equity_parkinson_variance,global,observation,2016-01-01,400
54,1.5,0.5556925030863513,5364905,equity_parkinson_variance,global,observation,2016-01-01,400
54,2.0,0.5970240264564713,5364905,equity_parkinson_variance,global,observation,2016-01-01,400
54,3.0,0.9290420603195297,5364905,equity_parkinson_variance,global,observation,2016-01-01,400
54,4.0,2.055190046416526,5364905,equity_parkinson_variance,global,observation,2016-01-01,400
55,1.0,0.580013180736203,5363380,equity_parkinson_variance,global,observation,2016-01-01,400
55,1.5,0.5569389777266407,5363380,equity_parkinson_variance,global,observation,2016-01-01,400
55,2.0,0.5988295723094351,5363380,equity_parkinson_variance,global,observation,2016-01-01,400
55,3.0,0.9327892526915488,5363380,equity_parkinson_variance,global,observation,2016-01-01,400
55,4.0,2.0624014904455716,5363380,equity_parkinson_variance,global,observation,2016-01-01,400
56,1.0,0.5801524698819982,5361855,equity_parkinson_variance,global,observation,2016-01-01,400
56,1.5,0.5569822355290222,5361855,equity_parkinson_variance,global,observation,2016-01-01,400
56,2.0,0.5986832496792066,5361855,equity_parkinson_variance,global,observation,2016-01-01,400
56,3.0,0.9317690056265451,5361855,equity_parkinson_variance,global,observation,2016-01-01,400
56,4.0,2.0576611330755794,5361855,equity_parkinson_variance,global,observation,2016-01-01,400
57,1.0,0.5806218032752518,5360330,equity_parkinson_variance,global,observation,2016-01-01,400
57,1.5,0.5575543999681797,5360330,equity_parkinson_variance,global,observation,2016-01-01,400
57,2.0,0.5994012970421151,5360330,equity_parkinson_variance,global,observation,2016-01-01,400
57,3.0,0.9332527103634122,5360330,equity_parkinson_variance,global,observation,2016-01-01,400
57,4.0,2.0631202797972947,5360330,equity_parkinson_variance,global,observation,2016-01-01,400
58,1.0,0.5797973515633645,5358805,equity_parkinson_variance,global,observation,2016-01-01,400
58,1.5,0.5565677170146739,5358805,equity_parkinson_variance,global,observation,2016-01-01,400
58,2.0,0.5983058675130661,5358805,equity_parkinson_variance,global,observation,2016-01-01,400
58,3.0,0.9324258133311477,5358805,equity_parkinson_variance,global,observation,2016-01-01,400
58,4.0,2.0656339567066095,5358805,equity_parkinson_variance,global,observation,2016-01-01,400
59,1.0,0.580273031258553,5357280,equity_parkinson_variance,global,observation,2016-01-01,400
59,1.5,0.5571037193025801,5357280,equity_parkinson_variance,global,observation,2016-01-01,400
59,2.0,0.5988596189995828,5357280,equity_parkinson_variance,global,observation,2016-01-01,400
59,3.0,0.9328086184066616,5357280,equity_parkinson_variance,global,observation,2016-01-01,400
59,4.0,2.0649619401407406,5357280,equity_parkinson_variance,global,observation,2016-01-01,400
60,1.0,0.5805547684873936,5355755,equity_parkinson_variance,global,observation,2016-01-01,400
60,1.5,0.5575136563221252,5355755,equity_parkinson_variance,global,observation,2016-01-01,400
60,2.0,0.5995044837107913,5355755,equity_parkinson_variance,global,observation,2016-01-01,400
60,3.0,0.9350890962388032,5355755,equity_parkinson_variance,global,observation,2016-01-01,400
