q,Zeta,Intercept,MomentR2,Table,Population
1.0,0.06182386891404171,-0.8916700934798885,0.8670253817771703,crypto_garman_klass_variance,RSR
1.5,0.08926464254350626,-1.113605724305691,0.8681343773533087,crypto_garman_klass_variance,RSR
2.0,0.11380985899307412,-1.2299374720667418,0.8618405932204081,crypto_garman_klass_variance,RSR
3.0,0.15252374976279953,-1.1909306305258922,0.8207922590798322,crypto_garman_klass_variance,RSR
4.0,0.17643175075311274,-0.8349876867611478,0.7167267901398126,crypto_garman_klass_variance,RSR
1.0,0.04618181426037729,-0.6085645691168887,0.8152218859089904,crypto_garman_klass_variance,VTHO
1.5,0.06559014255080556,-0.6907605009385118,0.8023771562978431,crypto_garman_klass_variance,VTHO
2.0,0.08234695913858935,-0.6745617657085017,0.7791292592841264,crypto_garman_klass_variance,VTHO
3.0,0.10808433492237654,-0.41322359297807676,0.7106686035172337,crypto_garman_klass_variance,VTHO
4.0,0.124711817073056,0.0833201920570069,0.6133292360825935,crypto_garman_klass_variance,VTHO
1.0,0.10016465090547391,-0.9365685913639276,0.977119694547041,crypto_realized_variance,global
1.5,0.1541372429474574,-1.1369035898201827,0.9772511413033971,crypto_realized_variance,global
2.0,0.20874972987457255,-1.178501970040922,0.9744850245622169,crypto_realized_variance,global
3.0,0.29937587413543354,-0.7380016929314874,0.9625897300945623,crypto_realized_variance,global
4.0,0.3416736166842187,0.3667461126564838,0.9453152672874133,crypto_realized_variance,global
1.0,0.1136372484093043,-0.4310979162006756,0.5197538009723696,crypto_realized_variance,BTT
1.5,0.171862175875783,-0.23426037504711825,0.48812265597886695,crypto_realized_variance,BTT
2.0,0.21995754456150576,0.18003234063690016,0.4713644597021498,crypto_realized_variance,BTT
3.0,0.27350871421869943,1.4803679517682986,0.44763665485211956,crypto_realized_variance,BTT
4.0,0.2862679829488566,3.137524099687143,0.42222070591871874,crypto_realized_variance,BTT
1.0,0.08335399558200955,-0.925449134583535,0.9054471918477393,crypto_realized_variance,WIN
1.5,0.11298205714980816,-1.1145121239604012,0.895581909158932,crypto_realized_variance,WIN
2.0,0.13586915005170982,-1.1796079292385773,0.8821238327034108,crypto_realized_variance,WIN
3.0,0.16629579369622494,-1.0347167028003887,0.8429849028143042,crypto_realized_variance,WIN
