Lag,q,Moment,Observations,Table,Population
37,1.5,0.48748836989180666,5254066,equity_parkinson_variance,global
37,2.0,0.4966911667696965,5254066,equity_parkinson_variance,global
37,3.0,0.6843275475849355,5254066,equity_parkinson_variance,global
37,4.0,1.3288918055523424,5254066,equity_parkinson_variance,global
38,1.0,0.5311766914105384,5064463,equity_parkinson_variance,global
38,1.5,0.4855777022074894,5064463,equity_parkinson_variance,global
38,2.0,0.49481473522706415,5064463,equity_parkinson_variance,global
38,3.0,0.6839360635895309,5064463,equity_parkinson_variance,global
38,4.0,1.3363954117162007,5064463,equity_parkinson_variance,global
39,1.0,0.5323010082711295,5083419,equity_parkinson_variance,global
39,1.5,0.4867510616785458,5083419,equity_parkinson_variance,global
39,2.0,0.49590935990283075,5083419,equity_parkinson_variance,global
39,3.0,0.68472897911055,5083419,equity_parkinson_variance,global
39,4.0,1.3396864999384377,5083419,equity_parkinson_variance,global
40,1.0,0.5344948575763857,5259404,equity_parkinson_variance,global
40,1.5,0.48945632934458827,5259404,equity_parkinson_variance,global
40,2.0,0.49903640639471053,5259404,equity_parkinson_variance,global
40,3.0,0.6877658223667581,5259404,equity_parkinson_variance,global
40,4.0,1.3343535494365737,5259404,equity_parkinson_variance,global
41,1.0,0.5346851051880965,7044361,equity_parkinson_variance,global
41,1.5,0.4900108453196376,7044361,equity_parkinson_variance,global
41,2.0,0.5000558859364316,7044361,equity_parkinson_variance,global
41,3.0,0.6901782066898631,7044361,equity_parkinson_variance,global
41,4.0,1.339865772554429,7044361,equity_parkinson_variance,global
42,1.0,0.5344009854289025,8671729,equity_parkinson_variance,global
42,1.5,0.48968246281642586,8671729,equity_parkinson_variance,global
42,2.0,0.4997984710361022,8671729,equity_parkinson_variance,global
42,3.0,0.6910549834994347,8671729,equity_parkinson_variance,global
42,4.0,1.3470560677899424,8671729,equity_parkinson_variance,global
43,1.0,0.5363489594582511,7039835,equity_parkinson_variance,global
43,1.5,0.49205534651316923,7039835,equity_parkinson_variance,global
43,2.0,0.502532542659492,7039835,equity_parkinson_variance,global
43,3.0,0.6942489764530412,7039835,equity_parkinson_variance,global
43,4.0,1.3487681449168667,7039835,equity_parkinson_variance,global
44,1.0,0.5374672323958323,5243660,equity_parkinson_variance,global
44,1.5,0.49336138166261956,5243660,equity_parkinson_variance,global
44,2.0,0.504028456230661,5243660,equity_parkinson_variance,global
44,3.0,0.6964992832445663,5243660,equity_parkinson_variance,global
44,4.0,1.3538662481285233,5243660,equity_parkinson_variance,global
45,1.0,0.5352282188589635,5059652,equity_parkinson_variance,global
45,1.5,0.4907090585388843,5059652,equity_parkinson_variance,global
45,2.0,0.5009959947194085,5059652,equity_parkinson_variance,global
45,3.0,0.6922561471439206,5059652,equity_parkinson_variance,global
45,4.0,1.344205558796411,5059652,equity_parkinson_variance,global
46,1.0,0.5349335693407912,5062718,equity_parkinson_variance,global
46,1.5,0.49035471039533696,5062718,equity_parkinson_variance,global
46,2.0,0.5005640275887864,5062718,equity_parkinson_variance,global
46,3.0,0.6917057329893694,5062718,equity_parkinson_variance,global
46,4.0,1.3442075282413921,5062718,equity_parkinson_variance,global
47,1.0,0.5361341798357036,5255143,equity_parkinson_variance,global
47,1.5,0.49172963812063886,5255143,equity_parkinson_variance,global
47,2.0,0.501971717432895,5255143,equity_parkinson_variance,global
47,3.0,0.6922104289679851,5255143,equity_parkinson_variance,global
47,4.0,1.339163787638525,5255143,equity_parkinson_variance,global
48,1.0,0.5381204689322425,7045108,equity_parkinson_variance,global
48,1.5,0.4943914355600967,7045108,equity_parkinson_variance,global
48,2.0,0.5054342657018921,7045108,equity_parkinson_variance,global
48,3.0,0.69826131695317,7045108,equity_parkinson_variance,global
48,4.0,1.3514148212346473,7045108,equity_parkinson_variance,global
49,1.0,0.5371813027281779,8674212,equity_parkinson_variance,global
49,1.5,0.49331281179003955,8674212,equity_parkinson_variance,global
49,2.0,0.5043021752219013,8674212,equity_parkinson_variance,global
49,3.0,0.6974838641443756,8674212,equity_parkinson_variance,global
49,4.0,1.353263847165961,8674212,equity_parkinson_variance,global
50,1.0,0.5387388212359746,7034023,equity_parkinson_variance,global
50,1.5,0.495360034423947,7034023,equity_parkinson_variance,global
50,2.0,0.5068933005283197,7034023,equity_parkinson_variance,global
50,3.0,0.7018713575128703,7034023,equity_parkinson_variance,global
50,4.0,1.3632339806671054,7034023,equity_parkinson_variance,global
51,1.0,0.5389014275507633,5239516,equity_parkinson_variance,global
51,1.5,0.4955583917600094,5239516,equity_parkinson_variance,global
51,2.0,0.507242194194027,5239516,equity_parkinson_variance,global
51,3.0,0.7032405042711438,5239516,equity_parkinson_variance,global
51,4.0,1.3671783331597234,5239516,equity_parkinson_variance,global
52,1.0,0.537142194873624,5055538,equity_parkinson_variance,global
52,1.5,0.4933606274094033,5055538,equity_parkinson_variance,global
52,2.0,0.5045616408897804,5055538,equity_parkinson_variance,global
52,3.0,0.6988870499596767,5055538,equity_parkinson_variance,global
52,4.0,1.3579813819863376,5055538,equity_parkinson_variance,global
53,1.0,0.5388364292159183,5089528,equity_parkinson_variance,global
53,1.5,0.49527169071418814,5089528,equity_parkinson_variance,global
53,2.0,0.50664960783216,5089528,equity_parkinson_variance,global
53,3.0,0.7017832773131715,5089528,equity_parkinson_variance,global
53,4.0,1.364653195428016,5089528,equity_parkinson_variance,global
54,1.0,0.5407894678822682,5250330,equity_parkinson_variance,global
54,1.5,0.4977378691138565,5250330,equity_parkinson_variance,global
54,2.0,0.5096007426023167,5250330,equity_parkinson_variance,global
54,3.0,0.7055737806875836,5250330,equity_parkinson_variance,global
54,4.0,1.3675911941948844,5250330,equity_parkinson_variance,global
55,1.0,0.5413437296462548,7039121,equity_parkinson_variance,global
55,1.5,0.49880721438603565,7039121,equity_parkinson_variance,global
55,2.0,0.5113484691432809,7039121,equity_parkinson_variance,global
55,3.0,0.7096859985019626,7039121,equity_parkinson_variance,global
55,4.0,1.378088940622521,7039121,equity_parkinson_variance,global
56,1.0,0.5402054868086164,8669657,equity_parkinson_variance,global
56,1.5,0.49719260400572196,8669657,equity_parkinson_variance,global
56,2.0,0.5091714633632107,8669657,equity_parkinson_variance,global
56,3.0,0.7055048808193406,8669657,equity_parkinson_variance,global
